level1; level2; compound
Vegetable; pea; isopropylmethoxypyrazine
Vegetable; phenol; o-cresol
Vegetable; pine; _-pinene|bornyl benzoate|_-pinene
Vegetable; plastic; (Z)-2-penten-1-ol|fucoserratene
Vegetable; potato; 2,5-dimethyl-3-ethylpyrazine|ethyldimethylpyrazine|diethylmethyl pyrazine|methionol
Vegetable; pungent; methylpentanol
Vegetable; resin; hexanol|_-pinene
Vegetable; roast; 2,5-dimethyl-3-ethylpyrazine|dimethylethyl pyrazine|methylethyl pyrazine|diethylmethyl pyrazine
Vegetable; roasted nut; methyl-2-(methylthio)acetate
Vegetable; rubber; (Z)-2-penten-1-ol
Vegetable; seaweed; 2,4-octadienal|2,4-decadienal
Vegetable; spice; cadina-1,4-dien-3-ol|germacrene B|isodihydrocarveol|germacrene D|isobutylmethoxypyrazine|_-copaene|dill apiol|caryophyllene alcohol|_-caryophyllene|_-guaiene
Vegetable; sulfur; dimethyl tetrasulfide|dimethyl sulfide
Vegetable; sweet; _-farnesene|2-dodecenal|_-farnesene|methionol|viridiflorol|coumarin
Vegetable; tomato leaf; isobutyl thiazole
Vegetable; truffle; hydroxypentanone
Vegetable; turpentine; _-pinene|_-pinene
Vegetable; violet; _-ionone
Vegetable; walnut; 2-octenal|(E)-2-hexenol
Vegetable; wax; nerolidol|2,6-nonadienal
Vegetable; wine; 2-hexenol
Vegetable; wood; _-muurolene|cadina-1,4-dien-3-ol|isocaryophyllene|_-ionone|germacrene B|trans-sabinene hydrate|isodihydrocarveol|_-farnesene|_-sesquiphellandrene|_-elemene|_-calacorene|germacrene D|bicyclogermacrene|alloaromadendrene|_-thujene|oxo-_-ionone|(-)-_-elemene|_-guaiene|_-copaene|_-cadinene|nerolidol|_-eudesmol|_-cadinol|dill apiol|aromadendrene|_-gurjunene|guaiol|_-farnesene|_-selinene|cuminic alcohol|perillen|elemol|_-humulene|_-caryophyllene|_-guaiene
