first_schema;e1;e2;score
edwards;http://data.odeuropa.eu/vocabulary/edwards/fruity;http://data.odeuropa.eu/vocabulary/historical-scent/fruity;1.0
edwards;http://data.odeuropa.eu/vocabulary/edwards/woody_oriental;http://data.odeuropa.eu/vocabulary/historical-scent/woody;0.7678759646899546
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sulphurous__rotten__fecal_fecal;http://data.odeuropa.eu/vocabulary/flavornet/odors/animal_fecal;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/body_odour_sweat;http://data.odeuropa.eu/vocabulary/flavornet/odors/animal_sweat;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_camphor;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_camphor;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/industrial_gasoline;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_gasoline;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_mint;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_mint;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_nuts;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_nut;0.7498940554150944
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/industrial_smoke;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_smoke;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sweet;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_sweet;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_vanilla;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_vanilla;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/floral_violet;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_violet;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_grapes;http://data.odeuropa.eu/vocabulary/flavornet/odors/berry_grape;0.8332626837334283
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_lavender;http://data.odeuropa.eu/vocabulary/flavornet/odors/citrus_lavender;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_lemon;http://data.odeuropa.eu/vocabulary/flavornet/odors/citrus_lemon;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/industrial_oil;http://data.odeuropa.eu/vocabulary/flavornet/odors/citrus_oil;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_orange;http://data.odeuropa.eu/vocabulary/flavornet/odors/citrus_orange;1.0
