ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY,
432,Ambergris,Ambergrijs,Grijze amber,"De grijze amber, ook Ambergrijs genoemd (zie ald.), fr. ambre gris. Eene uit zee verkregen stof, die gevonden wordt in het lichaam van den potvisch of cachelot, en ook op de zeëen in de warme steken drijvende wordt aangetroffen, gewoonlijk grijs of aschgrauw van kleur, ondoorschijnend, dof, vettig, broos of van een wasachtigen samenhang, en met een eigenaardigen reuk; voorheen in gebruik als reukwerk, als geneesmiddel en als specerij om spijzen te kruiden; lat. Ambra ambrosiaca. ","Wat Amber ofte Amber-grijs is, wert onder de schrijvers seer getwijffelt,   v. beverw., Schat d. Onges. 1, 39 b [1642].; Den besten Amber is die uyt den grijsen siet, ende daarom ock Amber-grijs genoemt wert, de geheel witte en is soo goet niet, de swarte is de slimste,   1, 40 a.; Hy (de grijze amber) is … seer nut voor oude en koude luyden, ende derhalven zijn soodanige de handtschoenen, die na Amber, Muscus, oft Zivet ruycken, veel bequamer als de jongelingen, die se nochtans meest dragen,   Ald.; Een met peper en amber toebereide nachtegaal,   schimmel 3, 97 a [1864]. ; u, die altijdt ruyckt soo soet Van Ambra, Sivetta, of Musceliaet.   visscher, Brabb. 65 [c. 1600].; In dese dartelheên heeft sich uw jeuchd besteedt: Haer amber was het stof, haer rosewater 't sweet (aan een krijgsman), Hooft, Ged. 1, 153 [1615].; (Hy weet) Of 't vochtigh element 't gryze Amber teelt gewis, Of datmen 't vette dreck sal achten van een visch. Vondel 1, 358 [1620].",
433,Asphalt,Asfalt,Bergpek,,"In het algemeen heeft het Berg-Pek geen aanmerkelyken reuk, maar smeltende … ruikt het naar Barnsteen,   chomel, Verv. 474 a [1786].",
434,Henbane,Bilzenkruid,,"Een geslacht van vergiftige planten, behoorende tot de familie der Solanaceae, en geheeten Hyoscyamus; verschillende soorten komen voor, hier te lande het zwart bilzenkruid. De reuk is zeer onaangenaam, het sap heeft eene verdoovende werking (vandaar de namen malkruid, dolkruid, malwillempjeskruid), en wordt in de geneeskunde gebruikt (verg. oudemans, Flora² 2, 382 en 388 )","Petun, Tabak, Nicotiana, oft Bilsencruyt van Peru, soo men dat mach noemen,   dodon. 804 b [ed. 1608].",
435,Water mint,Bruinheilig,"Watermunt, Rossement, Paardenblei, Bruine berend, kerk-bestrooisel","Volksnaam van zekere inheemsche plant, behoorende tot de familie der lipbloemige (Labiatae), een onkruid in vochtige graslanden, ook watermunt, rossement en paardenblei, bruine berend enz. geheeten (zie v. d. trappen, Herb. vivum. 2, 313 ); Mentha aquatica L. Aldus genoemd naar de bruinroode kleur der stengels en jonge bladeren en ”vermits het om de lieflyke reuk op Feestdagen onder de kerk-bestrooijsels vermengt wierd” (ten kate, Aenl. 2, 199 a ). ",,
436,Brown coal,Bruinkool,,,,
437,Neroli,Neroli,,,,
438,Petunia,Petunia,,,,
439,Poppy,Klaproos,Papaver,,,
440,Tulip,Tulp,,,,
441,Apple,Appel,,,,
442,Cherry,Kers,Kriek,,,
443,Currant,Ribes,,,,
444,Fig,Vijg,,,,
445,Melon,Meloen,,,,
446,Artichoke,Artisjok,,,,
447,Pumpkin,Pompoen,,,,
448,Vessel,Vat,,,,
449,Drinking glass,Glas,Drinkglas,,,
450,Glass with stem,Kelk,,,,
451,Glass without stem,,,,,
452,Jug,,,,,
453,Cup,Bokaal,,,,
454,Chalice,Miskelk,,,,
455,Wine Bottle,Wijnfles,,,,
456,Carafe,Karaf,,,,
457,Coffeepot,Koffiekan,Koffiepot,,,
458,Teapot,Theepot,,,,
459,Vertebrate,Gewervelden,Vertebraten,,,
460,Carcass,karkas,,,,
461,Bird,Vogel,,,,
462,Cat,Kat,,,,
463,Donkey,Ezel,,,,
464,Invertebrate,ongewervelden,,,,
465,Bivalve,mossel,,,,
466,Butterfly,vlinder,,,,
467,Caterpillar,rups,,,,
468,Fly,vlieg,,,,
469,Lobster,langoest,,,,
470,Prawn,garnaal,,,,
471,Insect,Insect,,,,
