ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY,
265,iso-butyl-quinoline,iso-butyl-quinoline,,,,
266,idoform,jodoform,,,,
267,Frankincense,Wijrook,wierook,,,
268,<warmoes>,Warmoes,,,,
269,Incense,wierook ,,,,
270,Musk,Muskus,,,,
271,ink,inkt,,,,
272,cork,kurk,,,,
273,cardboard,karton,,,,
274,glue,lijm,,,,
275,turpentine,terpentijn,,,,
276,rubber,rubber,,,,
277,grapefruit,grapefruit,,,,
278,Mandarin,mandarijn,,,,
279,lemongrass,citroengras,,,,
280,blackcurrant,zwarte bes,,,,
281,blueberry,blauwe bes,,,,
282,strawberry,aardbei,,,,
283,raspberry,framboos,,,,
284,rhubarb,rabarber,,,,
285,peach,perzik,,,,
286,plum,pruim,,,,
287,grape,druif,,,,
288,honeydew melon,,,,,
289,pineapple,ananas,,,,
290,pear,peer,,,,
291,watermelon,watermeloen,,,,
292,coconut,cocosnoot,,,,
293,walnut,walnoot,,,,
294,hazelnut,hazelnoot,,,,
295,peanut,pinda,,,,
296,almond,amandel,,,,
297,carrot,wortel,,,,
298,aubergine,aubergine,,,,
299,pea,erwt,,,,
300,potato,aardappel,,,,
301,asparagus,asperge,,,,
302,chives,bieslook,,,,
303,leek ,prij,,,,
304,bellpepper,paprika,,,,
305,corn,maïs,,,,
306,horse radish,mierikswortel,,,,
307,spring onion ,lenteui,,,,
308,celery,selderij,,,,
309,parsnip,pastinaak,,,,
310,olive,olijf,,,,
311,cabbage,kool,,,,
312,mushroom,champignons,,,,
313,cucumber,komkommer,,,,
314,beetroot,rode biet,,,,
315,parsley,peterselie,,,,
316,cress,,,,,
317,curry,kerrie,,,,
318,mustard  ,mosterd,,,,
319,chili,"chili, peper",,,,
320,fenugreek,fenegriek,,,,
321,pepper,peper,,,,
322,Origan,oregano,,,,
323,cumin,komijn,,,,
324,anise,Anijs,,,,
325,fennel,venkel,,,,
326,caraway,karwij,,,,
327,dill,dille,,,,
328,liquorice,drop,,,,
329,woodruff,lievevrouwebedstro,,,,
330,coriander seed,korianderzaad,,,,
331,coriander leaf,korianderblad,,,,
332,sage,salie,,,,
333,lovage,lavas,,,,
334,lemon balm,citroenmelisse,,,,
335,lemon,citroen,,,,
336,cider,cider,,,,
337,liqueur,likeur,,,,
338,milk,melk,,,,
339,cream,room,,,,
340,yoghurt,yoghurt,,,,
341,egg,eieren,,,,
342,mussel,mosselen,,,,
343,Crustacean,schaaldieren,,,,
344,honey,honing,,,,
345,beeswax,bijenwas,,,,
346,broth,bouilion,,,,
347,Candy floss,suikerspin,,,,
348,marzipan,marsepein,,,,
349,amaretto,amaretto,,,,
350,geranium,geranium,,,,
351,geranium leaf,geraniumblad,,,,
352,blackcurrant leaf,zwarte bes blad,,,,
353,elderflower,vlierbloesem,,,,
354,rapeseed,koolzaad,,,,
355,eucalyptus,eucalyptus,,,,
356,pine needle,Dennenaald,dennennaald,,,
357,fir needle,Zilverparnaald,,,,
358,conifer,coniferen,,,,
359,cedar (Virginia),ceder (Virginia),potloodceder,,,
360,cedar (Lebanon),(Libanon) ceder,,,,
361,Chamomile,kamille,,,,
362,Lilac,sering,,,,
363,Popcorn,popcorn,,,,
364,malt,mout,,,,
365,yeast,gist,,,,
366,urine,urine,"pis, zeik",,,
367,Sweat,zweet,,,,
