id,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY,NOTE
1,Aromatic amulet,aromatični amulet,osvežilec zraka,,,
2,Bao,žemljica,,,,
3,Bath,kopel,,,,
4,Jewelry,kopališče ,kopalna hiša,,,
5,(Beached) Whale,nasedli kit ,,,,
6,<Boldootwagen>,Boldootov voziček,,,,
7,Betrothal Ring,zaročni prstan,,,,
8,Bonfire,ognjišče,kurišče,,,
9,Burnt offering,žgalna daritev,,,,
10,Alchemy Equipment,alkimistična oprema,,,,
11,Apothecary Equipment,lekarniška oprema ,,,,
12,Anatomical Lessons,lekcije anatomije,,,,
13,Animal,živali,,,,
14,Beaver,bober ,,,,
15,Beer,pivo,,,,
16,Besamim,belica,,,,
17,Blood,kri,,,,
18,Bouquet,šopek,buket,,,
19,Bouquet Holder,držalo za šopek,stojalo za šopek,,,
20,Bracelet vinaigrette,dišavna zapestnica,,,,
21,Bread,kruh,"hlebec, štruca",,,
22,Butter,maslo,,,,
23,Cadaver,truplo,"mrtvec, mrlič, kadaver, posmrtni ostanki",,,
24,Camphor (tree),kafrovec,,,,
25,Candle,sveče,,,,
26,Canal,kanal,"cev, prepust",,,
27,Carnation,nagelj,kartavžar,,,
28,Cassolette,narastek,,,,
29,Censer,Kadilnica ,,,,
30,Chatelaine (chain),dolg srebrni pas za ženske ,,,,
31,Chatelaine flask,bučka na dolgem srebrnem pasu za ženske,,,,
32,Cheese,sir,,,,
33,Chemical Substance,kemične snovi,,,,
34,Chimney,dimniki,"zračnik, prepihovalnik",,,
35,Chocolate (solid),polna čokolada,,,,
36,Chocolate,"čokolada, kakav",,,,
37,Chypre,skupina dišav cipresa,,,,
38,Ciborium,ciborij ,,,,
39,Cigar,cigara,"havana, havanka",,,
40,Cigar-box,škatla za cigare,,,,
41,Cigar-case,cigarnica,"etui za cigare, zatok za cigare ",,,(arhaic)
42,Cigar-holder,ustnik za cigare ,,,,
43,Cigarette,cigarete,,,,
44,Civet ,cibet,civet,,,
45,Civet (mammal) ,cibetovka,cibeta,,,
46,Cloud,oblaki,oblačec,,,(arhaic)
47,Coal,premog ,"ogel, oglje ",,,
48,Geosmin,,,,,
49,perfumed brooch,broška za koktejl,,,,
50,Coffee,kava,črno zlato ,,,(expressive)
51,(perfumed) head cone,kadilo v obliki stožca,kadilni stožec,,,
52,Cuir de Russie,rusko usnje ,,,,
53,Diaper,plenica,,,,
54,Distillation equipment,destilacijska oprema,,,,
55,Dog,psi,"cucki, ščeneta",,,(both derogatory)
56,Dragon,zmaji,,,,
57,Drainage pipe,drenažne cevi,,,,
58,Eau de cologne,kolonjska vodica,,,,
59,Eau de Hungary,Madžarska voda,,,,
60,Eau de Luce,Lukova voda,,,,
61,Elm tree,brest,,,,
62,Essential oil,dišavno olje,eterično olje,,,
63,Hand Fan,pahljača,"pahalnik, ventilator",,,(arhaic)
64,Feather,pero,,,,
65,Perfume,,,,,
66,Fire,ogenj,,,,
67,Fireplace,ognjišče,,,,
68,Fish,riba,,,,
69,Flacon,parfumska steklenička,,,,
70,Flacon ring,obročasta steklenica,,,,
71,Floral water,rožna voda,cvetlična voda,,,
72,Flower,rože,cvetlice ,,,
73,Flower in hair,rože v laseh,cvetlice v laseh,,,
74,Oakmoss,,,,,
75,Fruit,sadje,,,,
76,Fur,krzno,"kožuh, kožuhovina",,,
77,Waste,smeti,odpadek,,,
78,Plant,,,,,
79,Garlic,česen,,,,
80,(leather) Gloves,rokavice,,,,
81,Grass,trava,,,,
82,Garland,girlanda,venec,,,
83,Gun,orožje,,,,
84,Gyroscope pomander,okrogla amber krogla,,,,
85,Accessory,,,,,
86,(scented) Handkerchief,robec,,,,
87,Hay,seno,,,,
88,Herb,zelišča,,,,
89,Incense Burner,kadilnica,,,,
90,Inro,inro,,,,
91,Columbine,orlica,,,,
92,Lily,"lilija, lilije",,,,
93,Laurel Wreath,lovorjev venec,lovorika,,,
94,Leather Tapestry,usnjene stenske tapete,,,,
95,Linen,platno,,,,
96,Linen cabinet,omara za perilo,,,,
97,<Lodereindoos>,škatlica z dišavo,,,,
98,Manure,gnoj,,,,
99,Medicine Jar,kozarec za zdravila,,,,
100,Mouth wash,ustna vodica,,,,
101,Musk Deer,Mošusni jelen,,,,
102,Musk Rat,pižmovka,,,,
103,Myrrh,mira,,,,
104,Anemone,Anemona,,,,
105,Heliotrope,Heliotrop,,,,
106,Nutmeg grater,strgalo za muškatni orešček,,,,
107,<odor di femmina>,vonj ženske,,,,
108,Odor of sanctity,vonj svetosti,,,,
109,Oil,olje,,,,
110,Onion,čebule,,,,
111,Ointment jar,posodice za kreme,,,,
112,Pastry,pecivo,sladica,,,
113,Peau d'Espagne,špansko usnje,,,,
114,Peltas,pelta,dolg ščit,,,
115,Pendant flacon,aromatični izvesek,,,,
116,Perfume bottle,steklenica za parfume,parfumske stekleničke,,,
117,Perfume box,škatlica za parfum,dišavnica,,,"(ambigious, might mean a herb)"
118,Perfume button,odišavljeni gumbi,,,,
119,Perfume Equipment,parfumska oprema,,,,
120,Perfume flacon,stekleničke za parfume,,,,
121,Perfume ring,parfumski prstan,,,,
122,Pipe,pipe,,,,
123,Plague mask,maske proti kugi,,,,
124,Plumbing Trap,vodovodna past,,,,
125,Pomander,pomander,parfumska krogla,,,
126,Water,voda,,,,
127,Pomander ship,dišeča kroglica v obliki ladje,,,,
128,Pomander Watch,parfumska ura,,,,
129,Posy holder,držalo za aromatični šopek,,,,
130,Potpourri (Bowl),skleda za potpuri,,,,
131,Pouncet Box,prelukljana srebrna škatlica z dišavo,,,,
132,Powder Box,pudrnica,,,,
133,Powdered Wig,napudrane lasulje,,,,
134,Privy,stranišče,,,,
135,Rain,dež,,,,
136,Rosary,rožni venec,"roženkranc, molek ",,,(both archaic)
137,Rosary bead,jagode na rožnem vencu,koralda na rožnem vencu,,,
138,Rose,vrtnica,,,,
139,Organic waste,,,,,
140,Sachet,vrečica,zavojček,,,
141,Scented bead,odišavljene koralde,odišavljene jagode,,,
142,Scent bottle,steklenička z vonjem,,,,
143,scent box,škatle z vonjem,dišavnica,,,"(ambigious, might mean a herb)"
144,Lamp,,,,,
145,Excrement,sranje,drek,,,
146,Skunk,rakun,,,,
147,Smoke,dim,,,,
148,Smelling Bottle,steklenička s soljo,,,,
149,Smelling Box,majhna škatla dišečih krem,,,,
150,Smelling Salts,dišeča sol,,,,
151,Snuff Box,tobačnice za njuhanec,doze za njuhanec,,,
152,Soap,milo,,,,
153,Sperm Whale,kit glavač,,,,
154,Spikenard,narda,nardova špajka,,,
155,Spirit,žgane pijače,,,,
156,Stable,hlev,,,,
157,Steam Train,parnik,,,,
158,Tobacco packaging,,,,,
159,Talc,smukec ,,,,
160,Tallow,sveča iz loja,,,,
161,Tea,čaj,,,,
162,Tussie Mussie,držalo za naš šopek,aromatični šopek,,,
163,Vial,viala,steklenička,,,
164,Vinaigrette,srebrna embalaža za parfum,,,,
165,Vinegar,kis ,,,,
166,Vomit,bruhati,bljuvati,,,
167,Wax,vosek,,,,
168,Wig,lasulja,,,,
169,Wine,vino,,,,
170,Iris,perunika,,,,
171,Jonquil,narcise jonquil ,,,,
172,Patchouli,pačuli,,,,
173,<Sillage>,silaža,,,,
174,Alembic,retorta,hruškasta posoda,,,
175,Lily-of-the-valley,šmarnica,,,,
176,Laundry,perilo,,,,
177,Spice,"začimba (nageljnove žbice, muškatovec, muškatni orešček, cimet)",,,,
178,Seafood,morska hrana,,,,
179,Oil lamp,oljna svetilka,svetilka na olje,,,
180,Meat,meso,,,,
181,Sausage,klobase,,,,
182,Ham,šunka,,,,
183,Stew,enolončnica,obara,,,
184,Poultry,perutnina,,,,
185,Porridge,kaša,,,,
186,Pancake,palačinke,,,,
187,Pie,pite,,,,
188,Pig,prašiči,svinje,,,
189,Horse,konji,,,,
190,Cow,krave,,,,
191,Bull,biki,,,,
192,(Male) goat,kozel,,,,
193,Sheep,ovce,,,,
194,Chicken,kokoš,,,,
195,Pigeon,golobi,,,,
196,Pigeon manure,golobji iztrebki,,,,
197,Labdanum,brškin,,,,
198,Sea,morje,,,,
199,Lake,jezero,,,,
200,Tree,drevesa,,,,
201,Lime blossom tree,lipa,,,,
202,Sandalwood,sandalovina,,,,
203,Benzoin,benzoin,benzoj,,,
204,Tolu balm,balzam Tolu,Tolu balzan,,,
205,Peru balm,balzam Peru,Peru balzam,,,
206,Vanilla,vanilija,,,,
207,Castoreum,bobrovina,,,,
208,Coumarin,kumarin ,,,,
209,Meadow sweet,močvirski oslad,"Brestovolistni oslad, brestovolistna sračica",,,
210,Strewing herb,zeli za nastiljanje ,,,,
211,Balm,balzamirati / balzamiranje,,,,
212,Calamus,kolmež,,,,
213,mace,muškatovec,,,,
214,cloves,nageljnove žbice,,,,
215,Cinnamon,cimet,,,,
216,gunpowder,smodnik,strelni prah,,,(arhaic)
217,styrax,stiraks ,,,,
218,oak,hrast,hrastovina ,,,(pertaining to the wood made from the oak)
219,ylang ylang,kananga,ylang ylang,,,
220,opoponax,sladka mira,,,,
221,acacia,akacija,,,,
222,galbanum,galbanum,,,,
223,violet,vijolice ,vijolična,,,(when pertaining to the color)
224,orris root,korenine perunike,korenine irisa,,,
225,gum tragacanth,(žvečilni) tragakant,,,,
226,hyacinth,hijacinta,jacinta,,,
227,Tobacco,tobak,,,,
228,Aqua mirabilis,čudežna voda,,,,
229,Theriaca,protistrup ,,,,
230,Tar,katran,gudron,,,
231,Juniper,brin / brinove jagode,,,,
232,Laurel,lovor,,,,
233,Leather,usnje ,,,,
234,myrtle,mirta,,,,
235,mint,meta,,,,
236,orchid,orhideja,,,,
237,Tuberose,tuberoza,,,,
238,filth,umazanja,,,,
239,Acacia farnesiana,akacija,,,,
240,chamber pot,nočna posoda,,,,
241,gangreen,gangrena,,,,
242,sulphur,žveplo,,,,
243,sulphuric acid,žveplova kislina,,,,
244,mustard gas,gorčični plin,iperit,,,
